Filename,word,CV_environment,Duration
115_shoplifter_sh_initialSH_Orig_SH_1.wav,shoplifter,SHAA1,0.20321995464852607
115_shortcut_sh_initialSH_Orig_SHAO1_1.wav,shortcut,SHAO1,0.19258503401360544
115_shortcut_sh_initialSH_Orig_SH_1.wav,shortcut,SHAO1,0.15024943310657596
115_shoulder_sh_initialSH_Orig_SHOW1_1.wav,shoulder,SHOW1,0.31195011337868483
115_shoulder_sh_initialSH_Orig_SH_1.wav,shoulder,SHOW1,0.2039002267573696
115_shovel_sh_initialSH_Orig_SHAH1_1.wav,shovel,SHAH1,0.2692063492063492
115_shovel_sh_initialSH_Orig_SH_1.wav,shovel,SHAH1,0.1728344671201814
115_show_sh_medialSH_FromMS_SHOW1_1.wav,show,SHOW1,0.5858049886621315
115_show_sh_medialSH_FromMS_SH_1.wav,show,SHOW1,0.186031746031746
115_shudder_sh_initialSH_Orig_SHAH1_1.wav,shudder,SHAH1,0.31281179138321996
115_shudder_sh_initialSH_Orig_SH_1.wav,shudder,SHAH1,0.21086167800453515
115_shuffle_sh_initialSH_Orig_SHAH1_1.wav,shuffle,SHAH1,0.2952607709750567
115_shuffle_sh_initialSH_Orig_SH_1.wav,shuffle,SHAH1,0.22031746031746033
115_sidewalk_s_initialS_Orig_SAY1_1.wav,sidewalk,SAY1,0.326281179138322
115_sidewalk_s_initialS_Orig_S_1.wav,sidewalk,SAY1,0.17052154195011338
115_silver_s_initialS_Orig_SIH1_1.wav,silver,SIH1,0.32346938775510203
115_silver_s_initialS_Orig_S_1.wav,silver,SIH1,0.246734693877551
115_soak_s_medialS_FromMS_SOW1_1.wav,soak,SOW1,0.4066439909297052
115_soak_s_medialS_FromMS_S_1.wav,soak,SOW1,0.2522675736961451
115_socket_s_initialS_Orig_SAA1_1.wav,socket,SAA1,0.32607709750566893
115_socket_s_initialS_Orig_S_1.wav,socket,SAA1,0.20582766439909295
115_submarine_s_initialS_Orig_SAH1_1.wav,submarine,SAH2,0.3027437641723356
115_submarine_s_initialS_Orig_S_1.wav,submarine,SAH2,0.2263718820861678
115_sugar_sh_initialSH_Orig_SHUH1_1.wav,sugar,SHUH1,0.3351700680272109
115_sugar_sh_initialSH_Orig_SH_1.wav,sugar,SHUH1,0.23766439909297052
115_sunroof_s_initialS_Orig_SAH1_1.wav,sunroof,SAH1,0.29630385487528343
115_sunroof_s_initialS_Orig_S_1.wav,sunroof,SAH1,0.20630385487528344
115_surfboard_s_initialS_Orig_SER1_1.wav,surfboard,SER1,0.33918367346938777
115_surfboard_s_initialS_Orig_S_1.wav,surfboard,SER1,0.19857142857142857
115_syrup_s_initialS_Orig_SIH1_1.wav,syrup,SIH1,0.3887301587301587
